phrase,sentiment
The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli ,neutral
At the request of Finnish media company Alma Media 's newspapers ,neutral
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January ,neutral
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume ,neutral
Swedish ,neutral
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand ,neutral
Changes being announced today will be effective after the close of trading on Friday ,neutral
According to CapMan Plc 's Corporate Governance ,neutral
The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood ,neutral
A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-ï¿½801-ï¿½6888 ,neutral
Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond ,neutral
The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna ,neutral
Yvonne Jones is owner of Chameleon Interiors ,neutral
The building will house ,neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007 ,neutral
Financial Statements include the consolidated financial statements of the Group ,neutral
For 2009 ,neutral
According to the company ,neutral
N-Viro operates processing facilities independently as well as in partnership with municipalities ,neutral
The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition ,neutral
The deal will have no significant effect on the acquiring company 's equity ratio ,neutral
no compensation for its news ,neutral
The money will be spread mainly over 2011 and 2012 ,neutral
Two other sites will be included later on ,neutral
The order was worth EUR 8mn ,neutral
The broker started UPM-Kymmene ,neutral
The Company serves approximately 3,neutral
The purchase price was not disclosed ,neutral
The shares shall be repurchased through public trading ,neutral
The combined value of the orders is almost EUR 3mn ,neutral
The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes ,neutral
The order comprises all production lines for a plywood mill ,neutral
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations ,neutral
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com ,neutral
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 ,neutral
The writing and publication of Lemmink+ï¿½inen -ï¿½ s history is a continuation of earlier collaboration between Antti Tuuri and the company ,neutral
Also the development of online businesses will continue ,neutral
The contract value amounts to EUR 2.4 million ,neutral
The sales price was not disclosed ,neutral
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 ,neutral
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress ,neutral
The transaction is subject to a final agreement between the parties ,neutral
Arto Ryymin ,neutral
The start of the negotiations ,neutral
According to Gallup Food and Farm Facts ,neutral
In the first quarter of 2008 ,neutral
A. Le Coq Special was developed for the bicentenary of the company and the trade mark ,neutral
No planned closing date was provided ,neutral
Rental of building equipment accounted for 88 percent of the operating income ,neutral
Componenta is a metal sector company with international operations and production plants located in Finland ,neutral
561,neutral
The Group 's turnover in 2006 was EUR 39.2 million ,neutral
Decisions are to be made as quickly as possible ,neutral
The first group of customers to be trained will be paint-shop owners and their assistants ,neutral
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 ,neutral
The company said that the operations will be sold to a newly established company ,neutral
The company 's transportation business is conducted through Florida Rock & Tank Lines ,neutral
The agreement includes application maintenance and support services ,neutral
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News ,neutral
The report will be emailed within 2 business days of an order ,neutral
The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles ,neutral
In 2008 ,neutral
The maximum grade of the veneer yield is calculated ,neutral
About Dopplr Dopplr is a service for smart travellers ,neutral
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral
The idea of saving electricity in data transfer is still a new one ,neutral
In his current position ,neutral
`` They want my credit card info and my personal details ,neutral
The Web-Marela application handles invitations to quote ,neutral
The floor area of the Yliopistonrinne project will be 7,neutral
Finnish Kemira Group 's CEO ,neutral
The value of the orders is over EUR 10mn ,neutral
Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 ,neutral
The Whitehall Street Real Estate Funds invest in real estate and real estate related assets ,neutral
At end-August ,neutral
Incap ,neutral
The order is included in Metso 's fourth quarter 2007 order backlog ,neutral
From 2003 on ,neutral
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 ,neutral
The turbines are expected to be launched by the end of 2012 ,neutral
Cohen & Steers ,neutral
The Inventors are Ridge Justin ,neutral
Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan ,neutral
The value of the order is EUR 2.5 mn ,neutral
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral
Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo ,neutral
Negotiations with representatives of the personnel regarding the restructuring process have now been ended ,neutral
In 2006 ,neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology ,neutral
The talks involved the Food and Ingredients Divisions ,neutral
All depends on financing ,neutral
In addition to the Tulikivi Corporation ,neutral
Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. ,neutral
Work on the assignment has already started and is due for completion in spring 2011 ,neutral
Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round ,neutral
The transaction value is CAD 15 million approximately EUR 10 million ,neutral
The expanded plant is scheduled to be operational by the middle of October 2009 ,neutral
The solid fuel is heated before sludge is mixed therein . ',neutral
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing ,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion ,neutral
The estimated value of the deal is USD 9.2 million ,neutral
The phones are targeted at first time users in growth markets ,neutral
`` Serving customers locally is one of the cornerstones of customer focus for us ,neutral
The issuer is solely responsible for the content of this announcement ,neutral
Currently Glaston employs approximately 1,neutral
These sections will be put into place to form the load-bearing steel structure of the bridge ,neutral
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand ,neutral
The company then said it will focus its resources on clinical research ,neutral
The order consists of outsourced application management ,neutral
After the split ,neutral
Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena ,neutral
The contracts between Raute Corporation and Muling Kemian Wood Products Co. ,neutral
The business area 's net sales were slightly over 2m in 2006 ,neutral
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations ,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China ,neutral
Kemira ,neutral
The project also implies an underground parking lot for 56 vehicles ,neutral
The business is organised ,neutral
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations ,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index ,neutral
Panostaja did not disclose the purchase price ,neutral
The utility will also provide services related to electricity management ,neutral
As an alternative to the share exchange ,neutral
The new majority owners of Aspocomp Thailand Co. ,neutral
Trading in the new shares ,neutral
Most of the raw materials come from Europe and the US and are paid in euros or US dollars ,neutral
BasWare is headquartered in Espoo ,neutral
The company is also seeking possibilities to relocate the Luumaki personnel ,neutral
The value of the orders is about EUR 70mn ,neutral
Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit ,neutral
The contract is for next year ,neutral
The latest result included per-share charges of 5 cents for stock compensation ,neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 ,neutral
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore ,neutral
With this ,neutral
N +1 Group will pay EUR16 .5 m of the transaction price upon closing ,neutral
The fish content of the nuggets is 85 % ,neutral
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 ,neutral
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities ,neutral
Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry ,neutral
The transaction is expected to be completed next spring ,neutral
The hosting mobile terminal guides information flow between itself ,neutral
Castecka said the town hall would hold talks with other investors interested in the zone ,neutral
The reductions will be implemented immediately ,neutral
Construction work on the Helsinki Music Centre is to start this autumn ,neutral
The value of this kind of order amounts usually between Euro 2 and 3 million ,neutral
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari ,neutral
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 ,neutral
The contract includes heating plant equipment and associated installation work ,neutral
By the end of 2006 ,neutral
The value of the contract is in total USD12m ,neutral
We know that it exists ,neutral
Mr. Mikko Saavalainen ,neutral
The platform would continue to be the development framework for Symbian and MeeGo ,neutral
In addition to its stake in MegaFon ,neutral
Tikkurila ,neutral
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg ,neutral
The Company turnover amounted to MEUR 27.9 in 2007 ,neutral
Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,neutral
The Committee proposes the following remuneration : a monthly remuneration of EUR 5,neutral
You need to be ready when the window opens up ,neutral
The scheme for TeliaSonera and Altimo is practically identical ,neutral
The purchase sum is about EUR 10mn US$ 12.97 mn ,neutral
The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined ,neutral
The reorganisation will be carried out by transferring HKScan Corporation 's production-related property ,neutral
The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,neutral
The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,neutral
Poyry is a global consulting and engineering firm focusing on the energy ,neutral
The E7 smartphone will be available for Rs35 ,neutral
SDM offers general rental equipment ,neutral
A data processing unit collects the data ,neutral
Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides ,neutral
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 ,neutral
The connectivity unit has more than 100 e-invoice customers ,neutral
Typical end-uses include roof structures ,neutral
Nordea Bank AB publ holds 6.000 Alma Media shares ,neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures ,neutral
The parties have therefore agreed to leave Avena out of the deal ,neutral
Veidekke ,neutral
`` These developments partly reflect the government 's higher activity in the field of dividend policy . ',neutral
At first ,neutral
Jeder Beta-Tester erh+ï¿½lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+ï¿½glichkeit ,neutral
RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays ,neutral
CapMan 's first real estate fund ,neutral
The Group owns and operates a fleet of more than 800dwt ,neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas ,neutral
The Annual Report contains the financial statements ,neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ,neutral
Each share is entitled to one vote ,neutral
The original patent was filed in Finland under application No. ,neutral
Most of the dividend will go to the Grimaldi family ,neutral
The company will disclose further details ,neutral
As part of the transaction ,neutral
The company has 120 employees and annual sales of approximately EUR16m ,neutral
The business units of the InvestLesProm Group cover the full forest industry chain ,neutral
Also ,neutral
L&T is operative in Finland ,neutral
Tekla 's defense business employs over 20 persons and is located in Espoo ,neutral
The value of the orders is about EUR 25mn ,neutral
Completion of the transaction is subject to a final agreement and a Due Diligence process ,neutral
Eero Katajavuori ,neutral
The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp ,neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 ,neutral
`` Directors and shareholders alike should ask why these practices were allowed to continue . ',neutral
The price will be specified at the completion date ,neutral
Glaston 's own glass processing unit ,neutral
The gross area of eight houses will be 12,neutral
Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors ,neutral
Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,neutral
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 ,neutral
Previously ,neutral
Nokia Siemens Networks provides mobile and fixed network infrastructure ,neutral
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. ,neutral
Mr Ashley ,neutral
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks ,neutral
The negotiations will concern the plant 's department producing winded roving that employs 10 people ,neutral
SSH Communications Security Corporation is headquartered in Helsinki ,neutral
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present ,neutral
The shops are located in the capital region and the Paijat-Hame region ,neutral
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 ,neutral
The value of the deal has not been disclosed ,neutral
Los Angeles-based Pacific Office Properties Trust acquires ,neutral
It is expected to be online by 2011 ,neutral
After non-recurring items of EUR 177mn ,neutral
The sale will be finalized in September or October ,neutral
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services ,neutral
In 2010 ,neutral
Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies ,neutral
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year ,neutral
The company 's set of services include digital printing ,neutral
The sellers were EOSS Innovationsmanagement and a group of private individuals ,neutral
Our customers come from the following countries : UK ,neutral
He will report to CapMan Plc 's CEO Heikki Westerlund ,neutral
The original contract was signed last summer ,neutral
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release ,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed ,neutral
No financial details of the deployment were disclosed ,neutral
The first phase of the logistics complex envisages the completion of some 70,neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process ,neutral
Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 ,neutral
The board machine ,neutral
` Nordea 's definitely too big for Sampo to acquire ,neutral
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. ,neutral
He wore a black beanie-type cap and a black jacket ,neutral
The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen ,neutral
The company operates its business through two reportable segments ,neutral
Our customers include companies in the energy and process industry sectors ,neutral
The divested stake represented about 2.7 m shares in Okmetic 's capital ,neutral
Established in 1987 ,neutral
The deal means that ten persons in three countries will transfer to Tieto ,neutral
On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups ,neutral
In the Czech Republic ,neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result ,neutral
Thus the group 's balance sheet will have about EUR 25.8 million of goodwill ,neutral
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform ,neutral
The company is listed on the Nordic Exchange in Helsinki ,neutral
The total donation amount is EUR 1,neutral
The divested company is part of TietoEnator 's business area Government ,neutral
The value of the order is EUR 700,neutral
The portfolio comprises of 118,neutral
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively ,neutral
The segments through which the company operates are Frozen Food business ,neutral
Among the Scandinavian companies present in St. Petersburg ,neutral
It was decided that the auditors are reimbursed according to invoice ,neutral
In 2008 ,neutral
Cencorp would focus on the development ,neutral
Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April ,neutral
STOCKMANN plc COMPANY ANNOUNCEMENT February 20 ,neutral
It will be operated by Nokia ,neutral
The store is located in Poznan in a shopping center named Pestka ,neutral
The output of the contracts totals 72 MWe ,neutral
It has80 branches in Finland with annual revenue in Finland of ,neutral
The inventors are Mukkavilli Krishna Kiran ,neutral
No other ev3 devices were involved in this action ,neutral
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 ,neutral
However ,neutral
The acquisition price was not disclosed ,neutral
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 ,neutral
The Stena Poseidon is a so-called Panamax tanker ,neutral
Alpina Sports is a Lebanon ,neutral
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services ,neutral
OTHER  North-Rhine Westphalia - Is to issue a benchmark ,neutral
Bluewin Security is available as a monthly subscription ,neutral
To see more of New Haven Register ,neutral
SRV will also build an aqua park with wellness area ,neutral
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division ,neutral
German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers ,neutral
- Counter your competitor 's strengths and target their weaknesses ,neutral
Capacity of the facility made by Finland 's Vaahto Group is 86,neutral
The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,neutral
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds ,neutral
Delivery is expected to take place later this month ,neutral
The ECB can mainly target inflation ,neutral
The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland ,neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti+ï¿½ Lemmink+ï¿½inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
Sarantel ,neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 ,neutral
Under the agreement ,neutral
The acquisition was financed with $ 2.56 billion of debt arranged by Goldman ,neutral
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. ,neutral
- The Group -ï¿½ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million ,neutral
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations ,neutral
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds ,neutral
The total investment in 2006 and 2007 is expected to amount to about EUR75m ,neutral
The issuer is solely responsible for the content of this announcement ,neutral
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ,neutral
The total value of the contract is some EUR 8 million ,neutral
The passenger tunnel is expected to be put into operation in 2009 ,neutral
The Division also includes joint sales ,neutral
To see a slide show of all the newest product releases from Fiskars ,neutral
The studies are expected to start in 2008 ,neutral
The train is expected to cross the Russian territory in 9 days ,neutral
The agreement must be approved by the Russian competition authorities before it enters into force ,neutral
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company ,neutral
The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting ,neutral
Currency conversions are based on exchange rates at the time of the deal ,neutral
SSH Communications Security Corporation is headquartered in Helsinki ,neutral
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas ,neutral
The total investment of the project will be approximately EUR 36m ,neutral
Capital base and capital adequacy measurement is based on approaches under Basel II ,neutral
The EA Reng group posted sales of approximately 84 million kroons for 2007 ,neutral
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland ,neutral
The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 ,neutral
Typically ,neutral
Trading code : ELI1V Number of shares : 99,neutral
Stora Enso will receive a 19.9 pct equity interest in the combined company ,neutral
The order comprises four ball mills ,neutral
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes ,neutral
During the rally ,neutral
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people ,neutral
Earnings per share EPS amounted to EUR0 .01 ,neutral
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 ,neutral
The company operates worldwide and employs in total approximately 47,neutral
The move will be carried out by transferring HKScan 's production-related property ,neutral
The e-commerce site and flagship will be managed by Marimekko North America Retail LLC ,neutral
3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) ,neutral
Operators only need to learn how to use one device for multiple levels of applications ,neutral
The trade is in accordance with the agreement announced on 26 March 2008 ,neutral
Aspocomp Group ,neutral
Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur ,neutral
The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio ,neutral
The customer is then forwarded to the site ,neutral
Symphony Services provides development services for Aldata GOLD ,neutral
HUHTAMAKI OYJ STOCK EXCHANGE RELEASE ,neutral
The company operates a U.S. division in Lisle ,neutral
No financial information was provided ,neutral
Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) ,neutral
Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,neutral
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting ,neutral
The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption ,neutral
Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday ,neutral
The Annual Report will be sent automatically to shareholders holding at least 2,neutral
`` There is no room to modify the share component as we have already indicated . ',neutral
In addition ,neutral
The add-on order contains ,neutral
128,neutral
The process ,neutral
Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. ,neutral
Altona stated that the private company of Altona chairman Kevin Maloney ,neutral
The repo rate will gradually reach 2 % at the end of 2010 ,neutral
Look out for vintage fabric cushion covers ,neutral
The combined capital of these funds is expected to be EUR 100mn-150mn ,neutral
Valga Lihatoostus markets its products under the Maks & Moorits trademark ,neutral
In the Czech Republic ,neutral
Elcoteq SE Stock Exchange Announcement February 4 ,neutral
Boomeranger Boats Oy specialises in boat building and designs ,neutral
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT ,neutral
Depending on the market situation ,neutral
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover ,neutral
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 ,neutral
The company will be part of Teleste 's Video and Broadband Solutions business area ,neutral
Country : ,neutral
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress ,neutral
The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V ,neutral
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 ,neutral
The Marubeni Group focuses on creating `` value chain '' from upstream to downstream ,neutral
The Stockmann department store will have a total floor space of over 8,neutral
The objective is that trading in the shares will commence on May 2 ,neutral
Why not give your bedroom a cool makeover for summer ,neutral
NWC ANALYSIS ,neutral
Metso 's delivery will include a complete coated board line with related air systems and two winders ,neutral
Customers wave cards in front of the reader to make payments ,neutral
No financial details were disclosed ,neutral
`` After the transaction ,neutral
Officials did not disclose the contract value ,neutral
According to HK Ruokatalo ,neutral
The most significant capital expenditure items were in the global enterprise resource planning ERP project ,neutral
Simultaneously ,neutral
A meeting of Glisten shareholders to vote on the bid will be held on 12 March ,neutral
National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest ,neutral
CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m ,neutral
The market making in accordance with the agreement will begin on September 24 ,neutral
The products have a low salt and fat content ,neutral
The 3C Expo is a signature show in Dongguan ,neutral
The unit 's clients are mainly in the field of specialist convenience goods ,neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there ,neutral
In future ,neutral
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway ,neutral
Less than ten people will face pension agreements ,neutral
treatment products in Usa ,neutral
At some point ,neutral
The office space will rise above the remodeled Cannon Street underground station ,neutral
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V ,neutral
The company did not disclose the price of the acquisition ,neutral
It is part of the development of the world-class magnetite deposit at Karara ,neutral
FL Group 's private equity division manages all operating companies ,neutral
More than 50,neutral
The guidance has been set at 90 basis points over mid-swaps ,neutral
As part of the agreement ,neutral
Ethanol would be made from barley ,neutral
Panostaja ,neutral
ITG 's share in the deal is estimated at some 500,neutral
The value of the total investment is about EUR 600mn ,neutral
ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,neutral
Once your plants are in the ground they will continue to grow ,neutral
The serial bond is part of the plan to refinance the short-term credit facility ,neutral
Purchase it for the 12MP snapper ,neutral
Okhta Center area is expected to have about 700,neutral
Supported Nokia phones include : N96 ,neutral
rosendal at outotec.com Eila Paatela ,neutral
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally ,neutral
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed ,neutral
IonPhasE 's second major owner is venture capital firm Aura Capital ,neutral
Sanoma also has an Executive Committee ,neutral
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin ,neutral
Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter ,neutral
China Unicom ,neutral
Nordea was the cheapest also for a couple in their 30s with debt ,neutral
It will provide heating in the form of hot water for the sawmill 's needs ,neutral
Protalix closed at $ 10.71 on Friday on the American Stock Exchange ,neutral
Financial terms were not disclosed ,neutral
The value of the order is around EUR 100 million ,neutral
The business development initiatives in North America are headed by Lynn Shanahan ,neutral
The medium-term operative targets of the company remain unchanged ,neutral
Cramo ,neutral
The 10,neutral
Unbelievably ,neutral
The final outcome of the rights offering is to be reported around 23 October 2009 ,neutral
It now owns 80,neutral
YIT CORPORATION SEPT. 24 ,neutral
Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays ,neutral
Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo ,neutral
BasWare Order Matching automatically matches purchase invoices with approved purchase orders ,neutral
Outotec 's scope of delivery includes design ,neutral
Construction is expected to be completed in the summer of 2011 ,neutral
Competition authorities will have to approve the deal before it can be finalized ,neutral
Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation ,neutral
Okmetic revised its 2010 financial outlook based on its order book ,neutral
Before FKI ,neutral
Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group ,neutral
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives ,neutral
Latin America currently accounts for approximately 40 % of sales at Tecnotree ,neutral
The value of the contracts is about EUR 3.3 mn ,neutral
The parties have agreed not to disclose the transaction value ,neutral
Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares ,neutral
`` We know there are some of our own people out there . ',neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB ,neutral
The firm builds components for mobile phones and other communications products ,neutral
Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering ,neutral
The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction ,neutral
Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 ,neutral
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' ,neutral
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors ,neutral
However ,neutral
The record date for dividend distribution is March 14 ,neutral
The value of the deal was not disclosed ,neutral
The maximum obligated total trades per day is ISK 400,neutral
Erkki Jarvinen ,neutral
Investment management and investment advisory services are the company 's sole line of business ,neutral
The total restructuring costs are expected to be about EUR 30mn ,neutral
In 2009 ,neutral
This action follows personnel negotiations concerning Elcoteq SE ,neutral
As with other stakeholders ,neutral
This could be any of us at any time ,neutral
